#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_aedui;Aedui;Aedui;Aedui;;Aedui;;;;;;;;;x
d_aedui_adj;Aedian;;aeder;;;;;;;;;;;x
d_aemilitat;Aemilitat;Aemilitat;Aemilitat;;Aemilitat;;;;;;;;;x
d_aemilitat_adj;Aemilitatian;;aemilitater;;;;;;;;;;;x
d_ager_gallicus;Ager Gallicus;Ager Gallicus;Ager Gallicus;;Ager Gallicus;;;;;;;;;x
d_ager_gallicus_adj;Ager Gallicusian;;Ager Gallicuser;;;;;;;;;;;x
d_allobroges;Allobroges;Allobroges;Allobroges;;Allobroges;;;;;;;;;x
d_allobroges_adj;Allobrogesian;;allobrogeser;;;;;;;;;;;x
d_apulia;Apulia;Apulia;Apulia;;Apulia;;;;;;;;;x
d_apulia_adj;Apulian;;apuler;;;;;;;;;;;x
d_arverni;Arverni;Arverni;Arverni;;Arverni;;;;;;;;;x
d_arverni_adj;Arvernian;;arverner;;;;;;;;;;;x
d_atrebates;Atrebates;Atrebates;Atrebates;;Atrebates;;;;;;;;;x
d_atrebates_adj;Atrebatesian;;atrebateser;;;;;;;;;;;x
d_ausci;Ausci;Ausci;Ausci;;Ausci;;;;;;;;;x
d_ausci_adj;Auscian;;auscer;;;;;;;;;;;x
d_belgae;Belgae;Belgae;Belgae;;Belgae;;;;;;;;;x
d_belgae_adj;Belgaean;;belger;;;;;;;;;;;x
d_bellovaci;Bellovaci;Bellovaci;Bellovaci;;Bellovaci;;;;;;;;;x
d_bellovaci_adj;Bellovacian;;bellovacer;;;;;;;;;;;x
d_biturges;Biturges;Biturges;Biturges;;Biturges;;;;;;;;;x
d_biturges_adj;Biturgesian;;biturgeser;;;;;;;;;;;x
d_brigantes;Brigantes;Brigantes;Brigantes;;Brigantes;;;;;;;;;x
d_brigantes_adj;Brigantesian;;briganteser;;;;;;;;;;;x
d_bruttium;Bruttium;Bruttium;Bruttium;;Bruttium;;;;;;;;;x
d_bruttium_adj;Bruttiumian;;bruttiumer;;;;;;;;;;;x
d_cadurci;Cadurci;Cadurci;Cadurci;;Cadurci;;;;;;;;;x
d_cadurci_adj;Cadurcian;;cadurcer;;;;;;;;;;;x
d_campania;Campania;Campania;Campania;;Campania;;;;;;;;;x
d_campania_adj;Campanian;;campaner;;;;;;;;;;;x
d_camunni;Camunni;Camunni;Camunni;;Camunni;;;;;;;;;x
d_camunni_adj;Camunnian;;camunner;;;;;;;;;;;x
d_cantii;Cantii;Cantii;Cantii;;Cantii;;;;;;;;;x
d_cantii_adj;Cantian;;canter;;;;;;;;;;;x
d_carnutes;Carnutes;Carnutes;Carnutes;;Carnutes;;;;;;;;;x
d_carnutes_adj;Carnutesian;;carnuteser;;;;;;;;;;;x
d_carvetii;Carvetii;Carvetii;Carvetii;;Carvetii;;;;;;;;;x
d_carvetii_adj;Carvetian;;carveter;;;;;;;;;;;x
d_caturiges;Caturiges;Caturiges;Caturiges;;Caturiges;;;;;;;;;x
d_caturiges_adj;Caturigesian;;caturigeser;;;;;;;;;;;x
d_catuvellauni;Catuvellauni;Catuvellauni;Catuvellauni;;Catuvellauni;;;;;;;;;x
d_catuvellauni_adj;Catuvellaunian;;catuvellauner;;;;;;;;;;;x
