#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_aquitania;Aquitania;Aquitania;Aquitania;;Aquitania;;;;;;;;;x
k_aquitania_adj;Aquitanian;;aquitaner;;;;;;;;;;;x
k_arduenna_silva;Arduenna Silva;Arduenna Silva;Arduenna Silva;;Arduenna Silva;;;;;;;;;x
k_arduenna_silva_adj;Arduenna Silvan;;Arduenna Silver;;;;;;;;;;;x
k_aremorica;Aremorica;Aremorica;Aremorica;;Aremorica;;;;;;;;;x
k_aremorica_adj;Aremorican;;aremoricer;;;;;;;;;;;x
k_baetica;Baetica;Baetica;Baetica;;Baetica;;;;;;;;;x
k_baetica_adj;Baetican;;baeticer;;;;;;;;;;;x
k_brigantes;Brigantes;Brigantes;Brigantes;;Brigantes;;;;;;;;;x
k_brigantes_adj;Brigantesian;;briganteser;;;;;;;;;;;x
k_cantii;Cantii;Cantii;Cantii;;Cantii;;;;;;;;;x
k_cantii_adj;Cantian;;canter;;;;;;;;;;;x
k_cartaginensis;Cartaginensis;Cartaginensis;Cartaginensis;;Cartaginensis;;;;;;;;;x
k_cartaginensis_adj;Cartaginensisian;;cartaginensiser;;;;;;;;;;;x
k_casalpina;Casalpina;Casalpina;Casalpina;;Casalpina;;;;;;;;;x
k_casalpina_adj;Casalpinan;;casalpiner;;;;;;;;;;;x
k_cisalpina;Cisalpina;Cisalpina;Cisalpina;;Cisalpina;;;;;;;;;x
k_cisalpina_adj;Cisalpinan;;cisalpiner;;;;;;;;;;;x
k_demetae;Demetae;Demetae;Demetae;;Demetae;;;;;;;;;x
k_demetae_adj;Demetaean;;demeter;;;;;;;;;;;x
k_dumnonii;Dumnonii;Dumnonii;Dumnonii;;Dumnonii;;;;;;;;;x
k_dumnonii_adj;Dumnonian;;dumnoner;;;;;;;;;;;x
k_gallaecia;Gallaecia;Gallaecia;Gallaecia;;Gallaecia;;;;;;;;;x
k_gallaecia_adj;Gallaecian;;gallaecer;;;;;;;;;;;x
k_gergovia;Gergovia;Gergovia;Gergovia;;Gergovia;;;;;;;;;x
k_gergovia_adj;Gergovian;;gergover;;;;;;;;;;;x
k_germania_inferior;Germania Inferior;Germania Inferior;Germania Inferior;;Germania Inferior;;;;;;;;;x
k_germania_inferior_adj;Germania Inferiorian;;Germania Inferiorer;;;;;;;;;;;x
k_helvetia;Helvetia;Helvetia;Helvetia;;Helvetia;;;;;;;;;x
k_helvetia_adj;Helvetian;;helveter;;;;;;;;;;;x
k_icenii;Icenii;Icenii;Icenii;;Icenii;;;;;;;;;x
k_icenii_adj;Icenian;;icener;;;;;;;;;;;x
k_italia;Italia;Italia;Italia;;Italia;;;;;;;;;x
k_italia_adj;Italian;;italer;;;;;;;;;;;x
k_lugdunensis;Lugdunensis;Lugdunensis;Lugdunensis;;Lugdunensis;;;;;;;;;x
k_lugdunensis_adj;Lugdunensisian;;lugdunensiser;;;;;;;;;;;x
k_lusitania;Lusitania;Lusitania;Lusitania;;Lusitania;;;;;;;;;x
k_lusitania_adj;Lusitanian;;lusitaner;;;;;;;;;;;x
k_lutetia;Lutetia;Lutetia;Lutetia;;Lutetia;;;;;;;;;x
k_lutetia_adj;Lutetian;;luteter;;;;;;;;;;;x
k_magna_graecia;Magna Graecia;Magna Graecia;Magna Graecia;;Magna Graecia;;;;;;;;;x
k_magna_graecia_adj;Magna Graecian;;Magna Graecer;;;;;;;;;;;x
k_maxima_sequanorum;Maxima Sequanorum;Maxima Sequanorum;Maxima Sequanorum;;Maxima Sequanorum;;;;;;;;;x
k_maxima_sequanorum_adj;Maxima Sequanorumian;;Maxima Sequanorumer;;;;;;;;;;;x
k_narbonesis;Narbonesis;Narbonesis;Narbonesis;;Narbonesis;;;;;;;;;x
k_narbonesis_adj;Narbonesisian;;narbonesiser;;;;;;;;;;;x
k_novantae;Novantae;Novantae;Novantae;;Novantae;;;;;;;;;x
k_novantae_adj;Novantaean;;novanter;;;;;;;;;;;x
k_pictavis;Pictavis;Pictavis;Pictavis;;Pictavis;;;;;;;;;x
k_pictavis_adj;Pictavisian;;pictaviser;;;;;;;;;;;x
k_sardinia_et_corsica;Sardinia et Corsica;Sardinia et Corsica;Sardinia et Corsica;;Sardinia et Corsica;;;;;;;;;x
k_sardinia_et_corsica_adj;Sardinia et Corsican;;Sardinia et Corsicer;;;;;;;;;;;x
k_senonia;Senonia;Senonia;Senonia;;Senonia;;;;;;;;;x
k_senonia_adj;Senonian;;senoner;;;;;;;;;;;x
k_silva_carbonaria;Silva Carbonaria;Silva Carbonaria;Silva Carbonaria;;Silva Carbonaria;;;;;;;;;x
k_silva_carbonaria_adj;Silva Carbonarian;;Silva Carbonarer;;;;;;;;;;;x
k_silva_nigra;Silva Nigra;Silva Nigra;Silva Nigra;;Silva Nigra;;;;;;;;;x
k_silva_nigra_adj;Silva Nigran;;Silva Nigrer;;;;;;;;;;;x
k_tarraconensis;Tarraconensis;Tarraconensis;Tarraconensis;;Tarraconensis;;;;;;;;;x
k_tarraconensis_adj;Tarraconensisian;;tarraconensiser;;;;;;;;;;;x
k_transalpina;Transalpina;Transalpina;Transalpina;;Transalpina;;;;;;;;;x
k_transalpina_adj;Transalpinan;;transalpiner;;;;;;;;;;;x
